,equity
2023-06-28 00:00:00-04:00,129728.02295000004
2023-06-29 00:00:00-04:00,130106.52295000004
2023-06-30 00:00:00-04:00,128268.56295000005
2023-07-03 00:00:00-04:00,128671.84295000005
2023-07-04 00:00:00-04:00,129361.62295000005
2023-07-05 00:00:00-04:00,128181.64295000004
2023-07-06 00:00:00-04:00,127948.42295000007
2023-07-07 00:00:00-04:00,129599.88295000003
2023-07-10 00:00:00-04:00,129197.66295000006
2023-07-11 00:00:00-04:00,130681.84295000005
2023-07-12 00:00:00-04:00,130352.92295000007
2023-07-13 00:00:00-04:00,130476.84295000005
2023-07-14 00:00:00-04:00,130013.46295000004
2023-07-17 00:00:00-04:00,130101.00295000002
2023-07-18 00:00:00-04:00,130877.16295000006
2023-07-19 00:00:00-04:00,131506.38295000003
2023-07-20 00:00:00-04:00,131835.10295000006
2023-07-21 00:00:00-04:00,130015.08295000007
2023-07-24 00:00:00-04:00,127598.60295000006
2023-07-25 00:00:00-04:00,128341.62295000005
2023-07-26 00:00:00-04:00,130479.56295000008
2023-07-27 00:00:00-04:00,133280.16295000006
2023-07-28 00:00:00-04:00,133834.68295000005
2023-07-31 00:00:00-04:00,134221.30295000007
2023-08-01 00:00:00-04:00,132755.34295000005
2023-08-02 00:00:00-04:00,134974.34295000005
2023-05-08 00:00:00-04:00,113383.76295000003
2023-05-09 00:00:00-04:00,111854.58295000004
2023-05-10 00:00:00-04:00,114610.82295000006
2023-05-11 00:00:00-04:00,114885.30295000007
2023-05-12 00:00:00-04:00,114947.38295000003
2023-05-15 00:00:00-04:00,114806.82295000003
2023-05-16 00:00:00-04:00,116449.20295000006
2023-05-17 00:00:00-04:00,116920.58295000004
2023-05-18 00:00:00-04:00,118224.32295000003
2023-05-19 00:00:00-04:00,117293.90295000005
2023-05-22 00:00:00-04:00,116265.72295000005
2023-05-23 00:00:00-04:00,117623.02295000004
2023-05-24 00:00:00-04:00,114889.20295000004
2023-05-25 00:00:00-04:00,116633.11455000006
2023-05-26 00:00:00-04:00,118238.84290000005
2023-05-29 00:00:00-04:00,118159.45290000006
2023-05-30 00:00:00-04:00,119509.25290000005
2023-05-31 00:00:00-04:00,119767.92290000003
2023-06-01 00:00:00-04:00,121362.60290000003
2023-06-02 00:00:00-04:00,121835.25290000005
2023-06-05 00:00:00-04:00,121749.61290000004
2023-06-06 00:00:00-04:00,122418.00290000005
2023-06-07 00:00:00-04:00,124593.81290000005
2023-06-08 00:00:00-04:00,124593.81290000005
2023-06-09 00:00:00-04:00,124885.14290000004
2023-06-12 00:00:00-04:00,125532.25290000005
2023-06-13 00:00:00-04:00,123899.27290000004
2023-06-14 00:00:00-04:00,125830.35290000003
2023-06-15 00:00:00-04:00,126694.65290000004
2023-06-16 00:00:00-04:00,126302.78290000005
2023-06-19 00:00:00-04:00,126683.03290000002
2023-06-20 00:00:00-04:00,125470.06290000005
2023-06-21 00:00:00-04:00,123632.99290000004
2023-06-22 00:00:00-04:00,121014.22290000005
2023-06-23 00:00:00-04:00,123942.53290000005
2023-06-26 00:00:00-04:00,125752.34290000008
2023-06-27 00:00:00-04:00,126761.25290000005
2023-06-28 00:00:00-04:00,129307.99290000004
2023-06-29 00:00:00-04:00,129685.41290000002
2023-06-30 00:00:00-04:00,127849.46290000007
2023-07-03 00:00:00-04:00,128252.92290000003
2023-07-04 00:00:00-04:00,128940.88290000006
2023-07-05 00:00:00-04:00,127763.04290000003
2023-07-06 00:00:00-04:00,127530.74290000004
2023-07-07 00:00:00-04:00,129178.64290000006
2023-07-10 00:00:00-04:00,128778.59290000005
2023-07-11 00:00:00-04:00,130259.99290000004
2023-07-12 00:00:00-04:00,129930.34290000005
2023-07-13 00:00:00-04:00,130054.62290000005
2023-07-14 00:00:00-04:00,129590.69290000005
2023-07-17 00:00:00-04:00,129677.13290000006
2023-07-18 00:00:00-04:00,130451.96290000004
2023-07-19 00:00:00-04:00,131080.37290000005
